tectonic_unit,strat_unit,sample_id2,outcrop_or_borehole,x_swiss_coords,y_swiss_coords,long,lat,elevation,depth,Rr,s,n,A,MA,source,distance_thrust_front,distance_thrust_front_perpendicular,distance_thrust_front_parallel
Plateau Molasse,USM,95,outcrop,533200,170800,6.565453,46.685065,450.0,0,0.47,0.03,50,0,,PhD thesis Roland Schegg (1993),19194.173932051333,19194.173932051333,123711.1265078155
Plateau Molasse,USM,114,outcrop,534880,170210,6.587495,46.679924,500.0,0,0.55,0.02,50,0,,PhD thesis Roland Schegg (1993),17893.65191038567,17893.65191038567,124528.93382010203
Plateau Molasse,USM,128,outcrop,540940,153830,6.668800999999999,46.533149,,0,0.46,0.03,49,0,,PhD thesis Roland Schegg (1993),672.5058071158114,672.5058071158114,122701.0691422175
Plateau Molasse,USM,130,outcrop,551410,159200,6.804703,46.582298,,0,1.16,0.09,16,1,,PhD thesis Roland Schegg (1993),-381.4139308212899,-381.4139308212899,134555.9174484057
Subalpine Molasse,USM,280,outcrop,557230,158350,6.880711,46.57505,,0,0.59,0.04,50,0,,PhD thesis Roland Schegg (1993),-2795.0801015385086,-2795.0801015385086,140715.8177580261
Subalpine Molasse,USM,281,outcrop,561640,162880,6.9378589999999996,46.616067,,0,0.45,0.06,67,1,,PhD thesis Roland Schegg (1993),-1430.4055396859715,-1430.4055396859715,146293.57703809507
Subalpine Molasse,USM,283,outcrop,559050,159090,6.904386,46.581821000000005,,0,0.37,0.04,50,1,,PhD thesis Roland Schegg (1993),-3130.359232719635,-3130.359232719635,142405.5325899711
Subalpine Molasse,USM,274,outcrop,557520,161800,6.884175,46.606103000000004,,0,0.35,0.04,50,0,,PhD thesis Roland Schegg (1993),-21.958284131350418,-21.958284131350418,142556.6733945721
Subalpine Molasse,USM,353,outcrop,560960,163780,6.928905,46.624124,900.0,0,0.47,0.05,50,1,,PhD thesis Roland Schegg (1993),-312.03710011492046,-312.03710011492046,146479.28344070984
Subalpine Molasse,USM,10,outcrop,554400,147900,6.844828999999999,46.480861,630.0,0,0.76,0.07,100,1,,PhD thesis Roland Schegg (1993),-11160.612730470122,-11160.612730470122,137819.99149729285
Subalpine Molasse,USM,12,outcrop,532800,161460,6.561592,46.601012,580.0,0,0.44,0.04,50,0,,PhD thesis Roland Schegg (1993),11509.147649421799,11509.147649421799,120807.12353718819
Subalpine Molasse,USM,100,outcrop,546700,154800,6.743766,46.542359000000005,,0,0.54,0.07,45,0,,PhD thesis Roland Schegg (1993),-1424.1221214214922,-1424.1221214214922,128162.04695228476
Subalpine Molasse,USM,101,outcrop,546640,155360,6.7429190000000006,46.547391,,0,0.59,0.07,70,0,,PhD thesis Roland Schegg (1993),-923.7049871599578,-923.7049871599578,128331.59648076285
Subalpine Molasse,USM,102,outcrop,548700,156100,6.769694,46.554209,,0,0.58,0.05,50,0,,PhD thesis Roland Schegg (1993),-1352.999392931414,-1352.999392931414,130650.90096205246
