well,sample,depth,n,aft_age,95ci_minus,95ci_plus,P_X2,ref,data_type,length_mean,length_std,n_lengths,long,lat,x_coord_swiss_grid,y_coord_swiss_grid,elevation,max_depth,distance_thrust_front,distance_thrust_front_perpendicular,distance_thrust_front_parallel
Savigny,Sa10,1980.0,26,10.5,2.7,3.5,1.0,Cederbom2011,central_age,,,,6.738949879,46.54821,546336.432499,155453.70051199998,839.9,2037.0,-676.3742812212865,-676.3742812212865,128181.51114115455
Savigny,Sa11,2037.0,5,11.6,4.9,8.3,78.0,Cederbom2011,central_age,,,,6.738949879,46.54821,546336.432499,155453.70051199998,839.9,2037.0,-676.3742812212865,-676.3742812212865,128181.51114115455
Savigny_t,Sa2,350.0,2,35.4,7.6,9.6,23.0,Cederbom2011,central_age,,,,,,,,,,1.7976931348623157e+308,1.7976931348623157e+308,-1.0
Savigny_t,Sa3,555.0,20,32.8,7.6,7.9,0.0,Cederbom2011,central_age,,,,,,,,,,1.7976931348623157e+308,1.7976931348623157e+308,-1.0
Savigny_t,Sa5,850.0,15,39.0,8.2,10.3,5.0,Cederbom2011,central_age,,,,,,,,,,1.7976931348623157e+308,1.7976931348623157e+308,-1.0
Thun,Th2,590.0,40,26.4,3.1,3.6,32.0,Cederbom2011,central_age,,,,7.70598602276076,46.7591581056038,620424.972651,178698.542905,1100.0,2394.0,-3796.3403114720245,-3796.3403114720245,212165.4563346019
Thun,Th4,1207.0,40,30.6,4.2,4.9,0.0,Cederbom2011,central_age,,,,7.70598602276076,46.7591581056038,620424.972651,178698.542905,1100.0,2394.0,-3796.3403114720245,-3796.3403114720245,212165.4563346019
Thun,Th5,1500.0,40,18.7,3.4,4.2,0.0,Cederbom2011,central_age,,,,7.70598602276076,46.7591581056038,620424.972651,178698.542905,1100.0,2394.0,-3796.3403114720245,-3796.3403114720245,212165.4563346019
Thun,Th6,1806.0,40,27.4,4.8,5.8,0.0,Cederbom2011,central_age,,,,7.70598602276076,46.7591581056038,620424.972651,178698.542905,1100.0,2394.0,-3796.3403114720245,-3796.3403114720245,212165.4563346019
Thun,Th7,2095.0,42,24.6,6.3,8.5,0.0,Cederbom2011,central_age,,,,7.70598602276076,46.7591581056038,620424.972651,178698.542905,1100.0,2394.0,-3796.3403114720245,-3796.3403114720245,212165.4563346019
Thun,Th8,2394.0,60,10.7,3.4,4.9,0.0,Cederbom2011,central_age,,,,7.70598602276076,46.7591581056038,620424.972651,178698.542905,1100.0,2394.0,-3796.3403114720245,-3796.3403114720245,212165.4563346019
Tuggen,Tg2+3,439.0,46,22.6,6.4,8.9,0.0,Cederbom2011,central_age,,,,8.955084007203231,47.2008334895503,714897.4835420001,228875.49950799998,408.0,1476.0,-402.67958856620544,-402.67958856620544,325927.723378866
Tuggen,Tg11,940.0,14,20.7,6.0,8.5,1.0,Cederbom2011,central_age,,,,8.955084007203231,47.2008334895503,714897.4835420001,228875.49950799998,408.0,1476.0,-402.67958856620544,-402.67958856620544,325927.723378866
Tuggen,Tg15,1476.0,6,19.0,12.0,32.6,0.0,Cederbom2011,central_age,,,,8.955084007203231,47.2008334895503,714897.4835420001,228875.49950799998,408.0,1476.0,-402.67958856620544,-402.67958856620544,325927.723378866
Weggis,W137,620.0,8,4.8,1.1,1.1,77.0,Cederbom2004,central_age,,,,8.42626611272786,47.034344193463106,675066.069574,209728.250507,457.3,2135.0,-5434.906575195109,-5434.906575195109,277312.48043587484
Weggis,W138,1485.0,40,7.8,0.9,0.9,0.0,Cederbom2004,central_age,,,,8.42626611272786,47.034344193463106,675066.069574,209728.250507,457.3,2135.0,-5434.906575195109,-5434.906575195109,277312.48043587484
Weggis,W139,2135.0,29,4.7,0.6,0.6,2.0,Cederbom2004,central_age,,,,8.42626611272786,47.034344193463106,675066.069574,209728.250507,457.3,2135.0,-5434.906575195109,-5434.906575195109,277312.48043587484
